클러스터,ISBN,책,대분류,씨앗,크기,KDC대분류수,허브편중,내부평균굵기,별표,선정
12,9791166891496,하늘과 바람과 별과 인간 :원자에서 인간까지,자연과학,False,4,3,1.0,0.667,True,False
13,9791171241675,타키포오 얼렁뚱땅 상식스쿨,총류,True,4,2,1.0,0.5,True,False
13,9791169794886,타키 포오의 코믹 어드벤처 2 - 캐릭온TV 오리지널 코믹스,미상,False,4,2,1.0,0.5,True,False
13,9791170626633,(타키·포오의) 이세계 여행사,문학,False,4,2,1.0,0.5,True,False
13,9791169794893,타키포오 코믹 어드벤처,문학,False,4,2,1.0,0.5,True,False
14,9788934942641,놓지 마 맞춤법,언어,True,3,2,0.734,0.628,False,False
14,9788934990987,놓지 마 어휘 :한자어,언어,True,3,2,0.734,0.628,False,False
14,9791168122369,놓지 마 과학!,자연과학,True,3,2,0.734,0.628,False,False
15,9791191496949,(설민석의) 그리스 로마 신화 대모험,종교,True,3,2,1.0,0.25,False,False
15,9791130696614,만화 한국 신화 :어린이를 위한 우리 인문학,종교,True,3,2,1.0,0.25,False,False
15,9791198179913,설민석의 한국사 대모험,역사,False,3,2,1.0,0.25,False,False
16,9788957361955,어린 왕자,문학,False,2,2,1.0,1.0,False,False
16,9788957361900,의사 어벤저스 :어린이 의학 동화,기술과학,True,2,2,1.0,1.0,False,False
17,9788936438838,아버지의 해방일지 :정지아 장편소설,문학,True,2,1,1.0,0.074,False,False
17,9788954699914,하얼빈 :김훈 장편소설,문학,False,2,1,1.0,0.074,False,False
