소스책,소스KDC,소스대분류,연관책,연관ISBN,연관KDC,연관대분류,연관class_nm,함께대출순위,교차,보편도df,IDF가중
아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,1,철학,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,9791158510619,3,사회과학,사회과학 > 경제학 > 경영관리,2,True,3,2.302585092994046
아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,1,철학,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,9791188331796,3,사회과학,사회과학 > 경제학 > 금융,3,True,5,1.791759469228055
아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,1,철학,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,9788901260716,3,사회과학,사회과학 > 경제학 > 경영관리,4,True,6,1.6094379124341003
아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,1,철학,돈의 심리학 :당신은 왜 부자가 되지 못했는가,9791191056372,3,사회과학,사회과학 > 경제학 > 금융,5,True,3,2.302585092994046
아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,1,철학,세이노의 가르침 :피보다 진하게 살아라,9791168473690,3,사회과학,사회과학 > 경제학 > 경영관리,6,True,7,1.455287232606842
아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,1,철학,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,9791192389325,3,사회과학,사회과학 > 경제학 > 경영관리,7,True,4,2.0149030205422647
아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,1,철학,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",9791167740984,1,철학,철학 > 심리학 > 각론,8,False,5,1.791759469228055
아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,1,철학,불편한 편의점 :김호연 장편소설,9791161571188,8,문학,문학 > 한국문학 > 소설,9,True,11,1.0033021088637848
아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,1,철학,"그릿 :IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘",9791186805398,3,사회과학,사회과학 > 경제학 > 경영관리,10,True,1,3.4011973816621555
(설민석의) 그리스 로마 신화 대모험,2,종교,설민석의 한국사 대모험,9791198179913,9,역사,역사 > 아시아(아세아) > 한국,10,True,1,3.4011973816621555
세이노의 가르침 :피보다 진하게 살아라,3,사회과학,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,9788901260716,3,사회과학,사회과학 > 경제학 > 경영관리,1,False,6,1.6094379124341003
세이노의 가르침 :피보다 진하게 살아라,3,사회과학,불편한 편의점 :김호연 장편소설,9791161571188,8,문학,문학 > 한국문학 > 소설,2,True,11,1.0033021088637848
세이노의 가르침 :피보다 진하게 살아라,3,사회과학,불편한 편의점 :김호연 장편소설,9791161571379,8,문학,문학 > 한국문학 > 소설,3,True,11,1.0033021088637848
세이노의 가르침 :피보다 진하게 살아라,3,사회과학,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,9791188331796,3,사회과학,사회과학 > 경제학 > 금융,4,False,5,1.791759469228055
세이노의 가르침 :피보다 진하게 살아라,3,사회과학,아버지의 해방일지 :정지아 장편소설,9788936438838,8,문학,문학 > 한국문학 > 소설,5,True,8,1.3217558399823195
세이노의 가르침 :피보다 진하게 살아라,3,사회과학,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",9791167740984,1,철학,철학 > 심리학 > 각론,6,True,5,1.791759469228055
세이노의 가르침 :피보다 진하게 살아라,3,사회과학,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,9791192300818,1,철학,"철학 > 서양철학 > 독일, 오스트리아철학",7,True,3,2.302585092994046
세이노의 가르침 :피보다 진하게 살아라,3,사회과학,원씽 :복잡한 세상을 이기는 단순함의 힘,9788997575169,3,사회과학,사회과학 > 경제학 > 경영관리,8,False,5,1.791759469228055
세이노의 가르침 :피보다 진하게 살아라,3,사회과학,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,9791191891287,8,문학,문학 > 한국문학 > 소설,9,True,4,2.0149030205422647
세이노의 가르침 :피보다 진하게 살아라,3,사회과학,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,9791192389325,3,사회과학,사회과학 > 경제학 > 경영관리,10,False,4,2.0149030205422647
퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,3,사회과학,세이노의 가르침 :피보다 진하게 살아라,9791168473690,3,사회과학,사회과학 > 경제학 > 경영관리,1,False,7,1.455287232606842
퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,3,사회과학,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,9788901260716,3,사회과학,사회과학 > 경제학 > 경영관리,2,False,6,1.6094379124341003
퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,3,사회과학,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",9791167740984,1,철학,철학 > 심리학 > 각론,3,True,5,1.791759469228055
퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,3,사회과학,원씽 :복잡한 세상을 이기는 단순함의 힘,9788997575169,3,사회과학,사회과학 > 경제학 > 경영관리,4,False,5,1.791759469228055
퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,3,사회과학,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,9791188331796,3,사회과학,사회과학 > 경제학 > 금융,5,False,5,1.791759469228055
퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,3,사회과학,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,9791192300818,1,철학,"철학 > 서양철학 > 독일, 오스트리아철학",6,True,3,2.302585092994046
퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,3,사회과학,돈의 심리학 :당신은 왜 부자가 되지 못했는가,9791191056372,3,사회과학,사회과학 > 경제학 > 금융,7,False,3,2.302585092994046
퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,3,사회과학,불변의 법칙 :절대 변하지 않는 것들에 대한 23가지 이야기,9791198517425,3,사회과학,사회과학 > 경제학 > 금융,8,False,1,3.4011973816621555
퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,3,사회과학,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,9791158510619,3,사회과학,사회과학 > 경제학 > 경영관리,9,False,3,2.302585092994046
퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,3,사회과학,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,9791162540640,1,철학,철학 > 심리학 > 각론,10,True,2,2.70805020110221
돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,3,사회과학,돈의 심리학 :당신은 왜 부자가 되지 못했는가,9791191056372,3,사회과학,사회과학 > 경제학 > 금융,1,False,3,2.302585092994046
돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,3,사회과학,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,9788901260716,3,사회과학,사회과학 > 경제학 > 경영관리,2,False,6,1.6094379124341003
돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,3,사회과학,부자 아빠 가난한 아빠 :20주년 특별 기념판,9791158883591,3,사회과학,사회과학 > 경제학 > 금융,3,False,1,3.4011973816621555
돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,3,사회과학,세이노의 가르침 :피보다 진하게 살아라,9791168473690,3,사회과학,사회과학 > 경제학 > 경영관리,4,False,7,1.455287232606842
돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,3,사회과학,원씽 :복잡한 세상을 이기는 단순함의 힘,9788997575169,3,사회과학,사회과학 > 경제학 > 경영관리,5,False,5,1.791759469228055
돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,3,사회과학,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,9791158510619,3,사회과학,사회과학 > 경제학 > 경영관리,6,False,3,2.302585092994046
