책A,책B,대분류A,대분류B,교차,엣지종류수,상호,순위강도합,IDF_A,IDF_B,보편도penalty,최종굵기,같은시리즈,ISBN_A,ISBN_B
마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,느리게 나이 드는 습관 :노년내과 의사가 알려주는 감속노화 실천법,철학,기술과학,True,2,False,0.9,0.29,0.843,0.29,0.261,False,9791192300818,9791193080146
마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,불변의 법칙 :절대 변하지 않는 것들에 대한 23가지 이야기,철학,사회과학,True,2,False,0.9,0.29,0.438,0.29,0.261,False,9791192300818,9791198517425
마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,어차피 남들은 나에게 관심 없다 :쇼펜하우어의 인간관계 철학,철학,철학,False,1,False,0.9,0.29,0.751,0.29,0.261,False,9791192300818,9791198621405
혼모노 :성해나 소설집,작별하지 않는다 :한강 장편소설,문학,문학,False,1,False,0.8,0.387,0.322,0.322,0.258,False,9788936439743,9788954682152
채식주의자 :한강 장편소설,작별하지 않는다 :한강 장편소설,문학,문학,False,1,False,0.8,0.843,0.322,0.322,0.258,False,9788936434595,9788954682152
웹 3.0 넥스트 이코노미 :불황 속 당신의 돈과 삶을 완전히 바꿀 생존경제,(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업,사회과학,사회과학,False,1,False,0.4,1.0,0.636,0.636,0.254,False,9791198013002,9791198013026
아이는 무엇으로 자라는가 :세계적 가족 심리학자 버지니아 사티어의 15가지 양육 법칙,나를 소모하지 않는 현명한 태도에 관하여,기술과학,철학,True,2,False,0.4,1.0,0.636,0.636,0.254,False,9791193506202,9791198682505
남에게 보여주려고 인생을 낭비하지 마라 :쇼펜하우어 소품집,(2500년 동안 사랑받은) 초역 부처의 말 :행복으로 가는 길은 없다 행복이 곧 길이다,철학,종교,True,1,False,0.4,0.843,0.636,0.636,0.254,False,9791169850445,9791193506516
마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche,(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업,철학,사회과학,True,1,False,0.4,0.751,0.636,0.636,0.254,False,9791192300245,9791198013026
"나를 위해 살지 않으면 남을 위해 살게 된다 :지혜에 관한 작은 책, 엥케이리디온",나를 소모하지 않는 현명한 태도에 관하여,철학,철학,False,1,False,0.4,1.0,0.636,0.636,0.254,False,9791169850889,9791198682505
습관의 디테일 :위대한 변화를 만드는 사소한 행동 설계,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,철학,철학,False,1,False,0.4,1.0,0.636,0.636,0.254,False,9788965964049,9791162540640
남에게 보여주려고 인생을 낭비하지 마라 :쇼펜하우어 소품집,(쇼펜하우어의) 고독한 행복,철학,철학,False,1,False,0.3,0.843,0.843,0.843,0.253,False,9791169850445,9791170402688
완치 비만 :당신은 어떻게 살 안 찌는 사람으로 변했나요?,내 몸 혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라,기술과학,기술과학,False,1,False,0.3,1.0,0.843,0.843,0.253,False,9791187330301,9791198553317
만복이네 떡집,공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것,문학,총류,True,1,False,0.3,0.843,1.0,0.843,0.253,False,9788949161341,9791196316808
느리게 나이 드는 습관 :노년내과 의사가 알려주는 감속노화 실천법,"최고의 노후 :질병 없이 건강하게, 행복한 노년을 만드는 비밀",기술과학,기술과학,False,1,False,0.3,0.843,1.0,0.843,0.253,False,9791193080146,9791197376696
아홉 살 마음 사전,흔한남매,철학,문학,True,1,False,0.3,1.0,0.843,0.843,0.253,False,9788936447014,9791164131686
아버지의 해방일지 :정지아 장편소설,(5천년 역사가 단숨에 이해되는) 최소한의 한국사,문학,역사,True,2,False,1.1,0.23,1.0,0.23,0.253,False,9788936438838,9791198243430
당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게,노화의 재설계 :예일대 의대에서 밝혀낸 신체나이를 되돌리는 방법,기술과학,기술과학,False,1,False,0.3,0.843,1.0,0.843,0.253,False,9791140702589,9791168126206
도파민네이션 :쾌락 과잉 시대에서 균형 찾기,"인스타 브레인 =몰입을 빼앗긴 시대, 똑똑한 뇌 사용법 /Insta brain",철학,기술과학,True,1,False,0.3,1.0,0.843,0.843,0.253,False,9788965965046,9791157686179
이웃집 백만장자 :푼돈이 모여 어마어마한 재산이 되는 생생한 비법,세이노의 가르침 :피보다 진하게 살아라,사회과학,사회과학,False,1,False,0.9,1.0,0.281,0.281,0.253,False,9788972773627,9791168473690
나는 읽고 쓰고 버린다 :손웅정의 말,나만의 리틀 포레스트에 산다,예술,미상,False,1,False,0.3,0.843,1.0,0.843,0.253,False,9791191859836,9791193939000
아홉 살 마음 사전,고양이 해결사 깜냥,철학,문학,True,1,False,0.3,1.0,0.843,0.843,0.253,False,9788936447014,9788936448523
인생은 순간이다 :삶이라는 타석에서 평생 지켜온 철학,이시형의 인생 수업 :90세 국민 정신과 의사와 내 인생을 만들어준 사람들,예술,미상,False,1,False,0.3,0.843,1.0,0.843,0.253,False,9791130648385,9791167031181
정재승의 인간 탐구 보고서,물리박사 김상욱의 수상한 연구실 :어린이를 위한 세상의 모든 과학,기술과학,자연과학,True,1,False,0.3,0.843,1.0,0.843,0.253,False,9788950983079,9791171171019
놓지 마 어휘 :한자어,놓지 마 과학!,언어,자연과학,True,1,False,0.3,1.0,0.843,0.843,0.253,False,9788934990987,9791168120266
"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",아이의 뇌 =뇌과학에서 찾아낸 4가지 양육 원칙 /A child's brain,기술과학,기술과학,False,1,False,0.3,1.0,0.843,0.843,0.253,False,9791168127531,9791193506981
당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게,(건강과 다이어트를 동시에 잡는) 채소·과일식 :단순하면서 자연스러운 가장 효과적인 식단,기술과학,기술과학,False,1,False,0.3,0.843,0.843,0.843,0.253,False,9791140702589,9791158773120
위라클 =우리 모두에게 기적을 /Weracle,"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",미상,예술,False,1,False,0.3,1.0,0.843,0.843,0.253,False,9788977824768,9791190382502
어른의 행복은 조용하다,"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",문학,예술,True,1,False,0.6,0.42,0.843,0.42,0.252,False,9791169851053,9791190382502
어른의 행복은 조용하다,당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 :쇼펜하우어 아포리즘,문학,철학,True,1,False,0.6,0.42,0.751,0.42,0.252,False,9791169851053,9791192625553
흔한남매,슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,문학,자연과학,True,1,False,0.5,0.503,1.0,0.503,0.251,False,9791168412477,9791168415171
아홉 살 마음 사전,흔한남매,철학,문학,True,1,False,0.5,1.0,0.503,0.503,0.251,False,9788936447014,9791168416369
흔한남매,축구 만화 도감 :재밌을 줄 알았는데 멋있어!,문학,예술,True,1,False,0.5,0.503,1.0,0.503,0.251,False,9791168412477,9791190007320
흔한남매,축구 만화 도감 :재밌을 줄 알았는데 멋있어!,문학,예술,True,1,False,0.5,0.503,1.0,0.503,0.251,False,9791168416369,9791190007320
박곰희 연금 부자 수업 :4개의 통장으로 월 300만원 만들기,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,사회과학,사회과학,False,1,False,0.5,0.751,0.503,0.503,0.251,False,9791168342941,9791188331796
타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,고전이 답했다 :마땅히 살아야 할 삶에 대하여,사회과학,철학,True,1,False,0.5,0.686,0.503,0.503,0.251,False,9791158510619,9791193939130
레버리지 :자본주의 속에 숨겨진 부의 비밀,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,사회과학,사회과학,False,1,False,0.5,1.0,0.503,0.503,0.251,False,9791130612249,9791188331796
밝은 밤 :최은영 장편소설,절창 :구병모 장편소설,문학,문학,False,1,False,0.5,0.686,0.503,0.503,0.251,False,9788954681179,9791141602451
내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong,단 한 번의 삶,종교,문학,True,1,False,1.0,1.0,0.246,0.246,0.246,False,9791130689890,9791191114768
밝은 밤 :최은영 장편소설,안녕이라 그랬어 :김애란 소설,문학,문학,False,1,False,0.7,0.686,0.346,0.346,0.242,False,9788954681179,9791141602376
불편한 편의점 :김호연 장편소설,나의 돈키호테 :김호연 장편소설,문학,문학,False,2,False,1.2,0.202,0.751,0.202,0.242,False,9791161571188,9791161571768
망원동 브라더스 :김호연 장편소설,불편한 편의점 :김호연 장편소설,문학,문학,False,2,False,1.2,1.0,0.202,0.202,0.242,False,9788997962129,9791161571188
방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,안녕이라 그랬어 :김애란 소설,예술,문학,True,1,False,0.7,1.0,0.346,0.346,0.242,False,9788968331862,9791141602376
나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기,방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,문학,예술,True,2,False,0.6,0.403,1.0,0.403,0.242,False,9788901276533,9788968331862
미래의 나를 만난 후 오늘이 달라졌다 :5년 뒤 나를 바꾸는 퓨처 셀프의 비밀,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,철학,사회과학,True,1,False,0.7,1.0,0.346,0.346,0.242,False,9791162543726,9791192389325
(아이들도 잘 모르고 어른들은 더 모르는) 신기한 현상 사전,(읽으면서 바로 써먹는) 어린이 세계 여행,총류,역사,True,1,False,0.5,1.0,0.479,0.479,0.239,False,9788934951278,9791158682798
벌거벗은 정신력,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",기술과학,철학,True,1,False,1.0,1.0,0.238,0.238,0.238,False,9791165348755,9791167740984
타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,돈의 심리학 :당신은 왜 부자가 되지 못했는가,사회과학,사회과학,False,1,False,0.4,0.686,0.595,0.595,0.238,False,9791158510619,9791191056372
모든 주식을 소유하라 :시장과 시간이 검증한 투자의 원칙,돈의 심리학 :당신은 왜 부자가 되지 못했는가,사회과학,사회과학,False,1,False,0.4,1.0,0.595,0.595,0.238,False,9791188096923,9791191056372
슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,흔한남매,자연과학,문학,True,1,False,0.4,1.0,0.595,0.595,0.238,False,9791168415171,9791168418844
흔한남매,축구 만화 도감 :재밌을 줄 알았는데 멋있어!,문학,예술,True,1,False,0.4,0.595,1.0,0.595,0.238,False,9791164137527,9791190007320
만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42,"어서오세요, 휴남동 서점입니다 :황보름 장편소설",철학,문학,True,1,False,0.4,0.686,0.595,0.595,0.238,False,9791190538510,9791197377143
타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",사회과학,철학,True,2,False,1.0,0.686,0.238,0.238,0.238,False,9791158510619,9791167740984
"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",이처럼 사소한 것들 :클레어 키건 소설,역사,문학,True,1,False,0.7,1.0,0.334,0.334,0.234,False,9788934972464,9791130646381
혼모노 :성해나 소설집,이처럼 사소한 것들 :클레어 키건 소설,문학,문학,False,1,False,0.7,0.387,0.334,0.334,0.234,False,9788936439743,9791130646381
방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,불편한 편의점 :김호연 장편소설,예술,문학,True,1,False,0.7,1.0,0.334,0.334,0.234,False,9788968331862,9791161571379
이처럼 사소한 것들 :클레어 키건 소설,남극 :클레어 키건 소설,문학,미상,False,1,False,0.7,0.334,1.0,0.334,0.234,False,9791130646381,9791130673332
혼모노 :성해나 소설집,밝은 밤 :최은영 장편소설,문학,문학,False,1,False,0.6,0.387,0.686,0.387,0.232,False,9788936439743,9788954681179
혼모노 :성해나 소설집,내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong,문학,종교,True,1,False,0.6,0.387,1.0,0.387,0.232,False,9788936439743,9791130689890
마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,쇼펜하우어 인생수업 :한 번뿐인 삶 이렇게 살아라,철학,철학,False,1,False,0.8,0.29,1.0,0.29,0.232,False,9791192300818,9791193282045
아버지의 해방일지 :정지아 장편소설,방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,문학,예술,True,2,False,1.0,0.23,1.0,0.23,0.23,False,9788936438838,9788968331862
아버지의 해방일지 :정지아 장편소설,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,문학,문학,False,2,False,1.0,0.23,0.843,0.23,0.23,False,9788936438838,9791165341909
아버지의 해방일지 :정지아 장편소설,숲의 대화 :정지아 소설집,문학,미상,False,1,False,1.0,0.23,1.0,0.23,0.23,False,9788936438838,9788956606729
작별하지 않는다 :한강 장편소설,내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong,문학,종교,True,1,False,0.7,0.322,1.0,0.322,0.225,False,9788954682152,9791130689890
삶이라는 지옥을 건너는 70가지 방법 :어제의 불행이 오늘의 행복이 되는 쇼펜하우어의 지혜,당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 :쇼펜하우어 아포리즘,철학,철학,False,1,False,0.3,0.843,0.751,0.751,0.225,False,9791155402306,9791192625553
나의 돈키호테 :김호연 장편소설,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,문학,문학,False,1,False,0.3,0.751,0.843,0.751,0.225,False,9791161571768,9791165341909
여수의 사랑 :한강 소설집,작별하지 않는다 :한강 장편소설,미상,문학,False,1,False,0.7,0.843,0.322,0.322,0.225,False,9788932034812,9788954682152
"바람이 분다, 가라 :한강 장편소설",작별하지 않는다 :한강 장편소설,문학,문학,False,2,False,0.7,0.843,0.322,0.322,0.225,False,9788932020006,9788954682152
(비울수록 사랑을 더 채우는) 엄마의 말 그릇,나는 다정한 관찰자가 되기로 했다 :불안에 휘둘리지 않는 단단한 태도에 관하여,기술과학,기술과학,False,1,False,0.3,1.0,0.751,0.751,0.225,False,9791168271838,9791198752406
(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,사회과학,자연과학,True,1,False,0.3,1.0,0.751,0.751,0.225,False,9791168413078,9791168415409
(허브 코헨의) 협상의 기술,세이노의 가르침 :피보다 진하게 살아라,사회과학,사회과학,False,1,False,0.8,1.0,0.281,0.281,0.225,False,9788934989738,9791168473690
원씽 :복잡한 세상을 이기는 단순함의 힘,세이노의 가르침 :피보다 진하게 살아라,사회과학,사회과학,False,2,False,0.8,0.457,0.281,0.281,0.225,False,9788997575169,9791168473690
고양이 해결사 깜냥,"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",문학,기술과학,True,1,False,0.3,0.751,1.0,0.751,0.225,False,9788936447694,9791168127531
사는 게 힘드냐고 니체가 물었다 :피할 수 없는 내 운명을 사랑하는 법,마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche,철학,철학,False,1,False,0.3,1.0,0.751,0.751,0.225,False,9788950978518,9791192300245
(흔한남매) 별난 세계 여행,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,역사,자연과학,True,1,False,0.3,0.843,0.751,0.751,0.225,False,9791168415355,9791168415409
작별하지 않는다 :한강 장편소설,절창 :구병모 장편소설,문학,문학,False,1,False,0.7,0.322,0.503,0.322,0.225,False,9788954682152,9791141602451
"경험의 멸종 :기술이 경험을 대체하는 시대, 인간은 계속 인간일 수 있을까",시대예보 :핵개인의 시대 =Forecast of the times : era of nuclear individuals,사회과학,사회과학,False,1,False,0.3,0.751,1.0,0.751,0.225,False,9791167742063,9791170610359
(아이들도 잘 모르고 어른들은 더 모르는) 신기한 현상 사전,흔한남매,총류,문학,True,1,False,0.4,1.0,0.56,0.56,0.224,False,9788934951278,9791168417199
흔한남매,세상에서 제일 재밌는 종이접기 :색종이 한 장이면 장난감 뚝딱!,문학,예술,True,1,False,0.4,0.56,1.0,0.56,0.224,False,9791168417199,9791186494431
흔한남매,슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,문학,자연과학,True,1,False,0.4,0.56,1.0,0.56,0.224,False,9791168414471,9791168415171
인생은 순간이다 :삶이라는 타석에서 평생 지켜온 철학,단 한 번의 삶,예술,문학,True,1,False,0.9,0.843,0.246,0.246,0.221,False,9791130648385,9791191114768
단 한 번의 삶,마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche,문학,철학,True,1,False,0.9,0.246,0.751,0.246,0.221,False,9791191114768,9791192300245
소년이 온다 :한강 장편소설,(5천년 역사가 단숨에 이해되는) 최소한의 한국사,문학,역사,True,1,False,0.5,0.438,1.0,0.438,0.219,False,9788936434120,9791198243430
"바람이 분다, 가라 :한강 장편소설",소년이 온다 :한강 장편소설,문학,문학,False,1,False,0.5,0.843,0.438,0.438,0.219,False,9788932020006,9788936434120
역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,부자의 그릇 :남을 위해 돈 쓰는 능력을 키우는 법,사회과학,사회과학,False,1,False,0.5,0.438,1.0,0.438,0.219,False,9788901260716,9791130604787
역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",사회과학,예술,True,1,False,0.5,0.438,0.843,0.438,0.219,False,9788901260716,9791190382502
소년이 온다 :한강 장편소설,이중 하나는 거짓말 :김애란 장편소설,문학,문학,False,1,False,0.5,0.438,0.479,0.438,0.219,False,9788936434120,9791141601300
혼모노 :성해나 소설집,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",문학,철학,True,1,False,0.9,0.387,0.238,0.238,0.214,False,9788936439743,9791167740984
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",문과 남자의 과학 공부 :나는 무엇이고 왜 존재하며 어디로 가는가?,철학,자연과학,True,2,False,0.9,0.238,1.0,0.238,0.214,False,9791167740984,9791192836188
밝은 밤 :최은영 장편소설,모순 :양귀자 장편소설,문학,문학,False,1,False,0.4,0.686,0.529,0.529,0.212,False,9788954681179,9788998441012
어른의 행복은 조용하다,느리게 나이 드는 습관 :노년내과 의사가 알려주는 감속노화 실천법,문학,기술과학,True,1,False,0.5,0.42,0.843,0.42,0.21,False,9791169851053,9791193080146
10배 마인드셋 :10배가 2배보다 쉽다,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,사회과학,사회과학,False,1,False,0.6,1.0,0.346,0.346,0.208,False,9791192005447,9791192389325
안녕이라 그랬어 :김애란 소설,(5천년 역사가 단숨에 이해되는) 최소한의 한국사,문학,역사,True,1,False,0.6,0.346,1.0,0.346,0.208,False,9791141602376,9791198243430
남에게 보여주려고 인생을 낭비하지 마라 :쇼펜하우어 소품집,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,철학,사회과학,True,2,False,0.6,0.843,0.346,0.346,0.208,False,9791169850445,9791192389325
퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,나를 소모하지 않는 현명한 태도에 관하여,사회과학,철학,True,2,False,0.6,0.346,0.636,0.346,0.208,False,9791192389325,9791198682505
아버지의 해방일지 :정지아 장편소설,마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche,문학,철학,True,2,False,0.9,0.23,0.751,0.23,0.207,False,9788936438838,9791192300245
아버지의 해방일지 :정지아 장편소설,시대예보 :핵개인의 시대 =Forecast of the times : era of nuclear individuals,문학,사회과학,True,2,False,0.9,0.23,1.0,0.23,0.207,False,9788936438838,9791170610359
소년이 온다 :한강 장편소설,아버지의 해방일지 :정지아 장편소설,문학,문학,False,1,True,0.6,0.438,0.23,0.23,0.207,False,9788936434120,9788936438838
자본주의의 적 :정지아 소설집,아버지의 해방일지 :정지아 장편소설,미상,문학,False,1,False,0.9,1.0,0.23,0.23,0.207,False,9788936438432,9788936438838
만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42,인생에서 가장 후회되는 게 뭐냐고 묻는다면,철학,철학,False,1,False,0.3,0.686,1.0,0.686,0.206,False,9791190538510,9791191891331
대온실 수리 보고서 :김금희 장편소설,밝은 밤 :최은영 장편소설,문학,문학,False,1,False,0.3,0.751,0.686,0.686,0.206,False,9788936439651,9788954681179
흔한남매 이상한 나라의 고전 읽기,대충 봐도 머리에 남는 어린이 야구 상식 :야구의 재미를 제대로 알게 하는 알쏭달쏭 야구의 모든 것,문학,예술,True,1,False,0.3,0.686,1.0,0.686,0.206,False,9791168413955,9791198381811
웰씽킹 =부를 창조하는 생각의 뿌리 /Wealthinking,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,사회과학,사회과학,False,1,False,0.3,0.843,0.686,0.686,0.206,False,9791130677774,9791158510619
남에게 보여주려고 인생을 낭비하지 마라 :쇼펜하우어 소품집,"위버멘쉬 :누구의 시선도 아닌, 내 의지대로 살겠다는 선언",철학,철학,False,1,False,0.3,0.843,0.686,0.686,0.206,False,9791169850445,9791192372730
밝은 밤 :최은영 장편소설,새의 선물 :은희경 장편소설,문학,미상,False,1,False,0.3,0.686,1.0,0.686,0.206,False,9788954681179,9788954687041
거인의 노트 :인생에서 무엇을 보고 어떻게 기록할 것인가,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,사회과학,사회과학,False,1,False,0.3,0.843,0.686,0.686,0.206,False,9791130697529,9791158510619
흔한남매 이상한 나라의 고전 읽기,팩토피아 :꼬리에 꼬리를 무는 400가지 사실들,문학,총류,True,1,False,0.3,0.686,1.0,0.686,0.206,False,9791168413955,9791169254069
순례 주택 :유은실 소설,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,문학,문학,False,1,False,0.3,0.686,0.843,0.686,0.206,False,9788949123493,9791165341909
소년이 온다 :한강 장편소설,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,문학,철학,True,2,False,0.7,0.438,0.29,0.29,0.203,False,9788936434120,9791192300818
(잠들기 전에 읽는) 쇼펜하우어,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,철학,철학,False,1,False,0.7,1.0,0.29,0.29,0.203,False,9791189922450,9791192300818
마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,철학,사회과학,True,2,False,0.7,0.29,0.346,0.29,0.203,False,9791192300818,9791192389325
역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,불편한 편의점 :김호연 장편소설,사회과학,문학,True,2,False,1.0,0.438,0.202,0.202,0.202,False,9788901260716,9791161571188
불편한 편의점 :김호연 장편소설,지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,문학,총류,True,2,False,1.0,0.202,1.0,0.202,0.202,False,9791161571188,9791190313186
돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,"돈의 방정식 :돈을 지위와 성공의 기준, 그 이상으로 다루기 위한 21가지 이야기",사회과학,사회과학,False,1,False,0.4,0.503,0.751,0.503,0.201,False,9791188331796,9791193904671
부의 추월차선 :부자들이 말해 주지 않는 진정한 부를 얻는 방법,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,사회과학,사회과학,False,1,False,0.4,1.0,0.503,0.503,0.201,False,9791187444725,9791188331796
흔한남매,(백종원의) 도전 요리왕 :음식으로 맛보는 세계 역사 문화 체험,문학,기술과학,True,1,False,0.4,0.503,1.0,0.503,0.201,False,9791168416369,9791189938352
인생은 순간이다 :삶이라는 타석에서 평생 지켜온 철학,고전이 답했다 :마땅히 살아야 할 삶에 대하여,예술,철학,True,1,False,0.4,0.843,0.503,0.503,0.201,False,9791130648385,9791193939130
30개 도시로 읽는 세계사 :세계 문명을 단숨에 독파하는 역사 이야기,"(펼치는 순간 단숨에 6,000년 역사가 읽히는) 요즘 어른을 위한 최소한의 세계사",미상,역사,False,1,False,0.2,1.0,1.0,1.0,0.2,False,9791130630366,9791193128428
벌거벗은 한국사 :본격 우리 역사 스토리텔링쇼,(5천년 역사가 단숨에 이해되는) 최소한의 한국사,미상,역사,False,1,False,0.2,1.0,1.0,1.0,0.2,False,9791198243409,9791198243430
아홉 살 마음 사전,고양이 해결사 깜냥,철학,문학,True,1,False,0.2,1.0,1.0,1.0,0.2,False,9788936447014,9788936448134
소년이 온다 :한강 장편소설,이처럼 사소한 것들 :클레어 키건 소설,문학,문학,False,2,True,0.4,0.438,0.334,0.334,0.2,False,9788936434120,9791130646381
불편한 편의점 :김호연 장편소설,마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche,문학,철학,True,1,False,0.6,0.334,0.751,0.334,0.2,False,9791161571379,9791192300245
아홉 살 마음 사전,누구를 보낼까요?,철학,문학,True,1,False,0.2,1.0,1.0,1.0,0.2,False,9788936447014,9791190499460
(곽재식의) 한국사 괴물 수사대,만화 한국 신화 :어린이를 위한 우리 인문학,역사,종교,True,1,False,0.2,1.0,1.0,1.0,0.2,False,9788934946779,9791130696614
만화 한국 신화 :어린이를 위한 우리 인문학,(설민석의) 그리스 로마 신화 대모험,종교,종교,False,1,False,0.2,1.0,1.0,1.0,0.2,False,9791130696614,9791191496628
놓지 마 어휘 :한자어,놓지 마 과학!,언어,자연과학,True,1,False,0.2,1.0,1.0,1.0,0.2,False,9788934990987,9791190908184
우리는 왜 잠을 자야 할까 :수면과 꿈의 과학,내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong,기술과학,종교,True,1,False,0.2,1.0,1.0,1.0,0.2,False,9788932919584,9791130689890
요리스타 청,(백종원의) 도전 요리왕 :음식으로 맛보는 세계 역사 문화 체험,기술과학,기술과학,False,1,False,0.2,1.0,1.0,1.0,0.2,False,9788934971085,9791189938352
도파민네이션 :쾌락 과잉 시대에서 균형 찾기,습관의 알고리즘 :인간의 뇌는 어떻게 행동을 설계하는가,철학,철학,False,1,False,0.2,1.0,1.0,1.0,0.2,False,9788965965046,9791162542644
(도슨트 정우철의) 미술 극장,방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,미상,예술,False,1,False,0.2,1.0,1.0,1.0,0.2,False,9788954772600,9788968331862
모순 :양귀자 장편소설,이처럼 사소한 것들 :클레어 키건 소설,문학,문학,False,1,False,0.6,0.529,0.334,0.334,0.2,False,9788998441012,9791130646381
이처럼 사소한 것들 :클레어 키건 소설,절창 :구병모 장편소설,문학,문학,False,1,False,0.6,0.334,0.503,0.334,0.2,False,9791130646381,9791141602451
(소아정신건강의학과 의사가 들려주는) 모든 아이는 예민하다 =All children are sensitive,아이는 무엇으로 자라는가 :세계적 가족 심리학자 버지니아 사티어의 15가지 양육 법칙,사회과학,기술과학,True,1,False,0.2,1.0,1.0,1.0,0.2,False,9791169092418,9791193506202
이처럼 사소한 것들 :클레어 키건 소설,당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 :쇼펜하우어 아포리즘,문학,철학,True,2,False,0.6,0.334,0.751,0.334,0.2,False,9791130646381,9791192625553
