책A,책B,대분류A,대분류B,교차,엣지종류수,상호,순위강도합,IDF_A,IDF_B,보편도penalty,최종굵기,같은시리즈,ISBN_A,ISBN_B
세상에서 제일 재밌는 종이접기 :색종이 한 장이면 장난감 뚝딱!,(아이가 좋아하는) 종이접기 :아이큐 쑥쑥 재미 팡팡,예술,미상,False,1,False,0.5,1.0,1.0,1.0,0.5,False,9791186494431,9791187310112
5번 레인,"왜 유명한 거야, 이 그림?",문학,예술,True,1,False,0.5,1.0,1.0,1.0,0.5,False,9788954674638,9791167550712
불편한 편의점 :김호연 장편소설,만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42,문학,철학,True,2,False,1.5,0.334,0.686,0.334,0.5,False,9791161571379,9791190538510
페이머스 :왜 그들만 유명할까,세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,사회과학,총류,True,1,False,0.5,1.0,1.0,1.0,0.5,False,9788947549967,9791192953151
갈림길,"왜 유명한 거야, 이 그림?",미상,예술,False,1,False,0.5,1.0,1.0,1.0,0.5,False,9788901272597,9791167550712
놓지 마 어휘 :한자어,놓지 마 맞춤법,언어,미상,False,2,False,0.5,1.0,1.0,1.0,0.5,False,9788934990987,9791173320385
흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,언어,예술,True,1,False,0.5,1.0,1.0,1.0,0.5,False,9791130637594,9791164138715
숫자로 알아보는 세계 축구 기록,축구 만화 도감 :재밌을 줄 알았는데 멋있어!,미상,예술,False,1,False,0.5,1.0,1.0,1.0,0.5,False,9791185653396,9791190007320
도파민네이션 :쾌락 과잉 시대에서 균형 찾기,운동의 뇌과학 :불안장애에 시달린 뇌과학자가 발견한 7가지 운동의 힘,철학,기술과학,True,1,False,0.5,1.0,1.0,1.0,0.5,False,9788965965046,9791139716009
내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong,아직 오지 않은 날들을 위하여 :세계적 지성이 전하는 나이듦의 새로운 태도,종교,철학,True,1,False,0.5,1.0,1.0,1.0,0.5,False,9791130689890,9791168340039
이기적 유전자,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",자연과학,역사,True,1,False,0.5,1.0,1.0,1.0,0.5,False,9788932473901,9788934972464
방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,하룻밤 미술관 - 잠들기 전 이불 속 설레는 미술관 산책,예술,미상,False,1,False,0.5,1.0,1.0,1.0,0.5,False,9788968331862,9791130639895
깨어있는 양육 :아이가 보내는 신호를 제대로 읽고 소통하는 법,아이는 무엇으로 자라는가 :세계적 가족 심리학자 버지니아 사티어의 15가지 양육 법칙,기술과학,기술과학,False,1,False,0.5,1.0,1.0,1.0,0.5,False,9791190457279,9791193506202
가재미 :문태준 시집,나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,문학,총류,True,1,False,0.5,1.0,1.0,1.0,0.5,False,9788932017136,9791189686826
(아이들도 잘 모르고 어른들은 더 모르는) 신기한 현상 사전,개가 말하는 친구 사용법,총류,문학,True,1,False,0.5,1.0,1.0,1.0,0.5,False,9788934951278,9788962479171
"우리는 언젠가 만난다 :나, 타인, 세계를 이어주는 40가지 눈부신 이야기",지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,총류,총류,False,1,False,0.5,1.0,1.0,1.0,0.5,False,9791188248124,9791190313186
벌거벗은 한국사 :격동의 500년이 단숨에 이해되는 스토리텔링 고려사,(5천년 역사가 단숨에 이해되는) 최소한의 한국사,미상,역사,False,1,False,0.5,1.0,1.0,1.0,0.5,False,9791193401125,9791198243430
아버지의 해방일지 :정지아 장편소설,작별하지 않는다 :한강 장편소설,문학,문학,False,2,True,1.4,0.23,0.322,0.23,0.484,False,9788936438838,9788954682152
작별하지 않는다 :한강 장편소설,문과 남자의 과학 공부 :나는 무엇이고 왜 존재하며 어디로 가는가?,문학,자연과학,True,2,False,1.5,0.322,1.0,0.322,0.483,False,9788954682152,9791192836188
