ISBN,책,KDC,대분류,씨앗,out_degree,in_degree
9791158682873,(읽다 보면 저절로 알게 되는) 신비한 끈기·집중·성취 사전,,미상,False,0,1
9788997962129,망원동 브라더스 :김호연 장편소설,8,문학,False,0,1
9791193591017,강원국의 인생 공부 :무엇을 위해 살 것인가,,미상,False,0,1
9791193937228,마음이 부자인 아이는 어떻게 성장하는가 :행복할 줄 아는 아이로 키우는 정서 육아법,5,기술과학,False,0,1
9788956606729,숲의 대화 :정지아 소설집,,미상,False,0,1
9791198179982,(설민석의) 그리스 로마 신화 대모험,2,종교,False,0,1
9791168415591,(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,3,사회과학,False,0,1
9791189217280,상위 1%의 비밀은 공부정서에 있습니다 :스스로 해내는 아이로 만드는 정서 관리 원칙,,미상,False,0,1
9791191104677,"남자아이 대백과 :한 권으로 끝내는 아들의 유년기, 학교생활, 사춘기 양육 기술",5,기술과학,False,0,1
9791141608880,어느 날 문이 사라졌다,,미상,False,0,1
9791160079265,70세의 정답 :다가올 30년의 노화를 늦추는 법,,미상,False,0,1
9791189217426,존 보글 부의 마인드,3,사회과학,False,0,1
9788901272085,클루지 :생각의 역사를 뒤집는 기막힌 발견,1,철학,False,0,1
9791198243409,벌거벗은 한국사 :본격 우리 역사 스토리텔링쇼,,미상,False,0,1
9791190242035,손흥민이랑 축구하자! :월드클래스 Son세이셔널,,미상,False,0,1
9791158681203,(김종진 감독의) 어린이 야구 설명서,,미상,False,0,1
9791173470660,(흔한남매) 흔한 게임,8,문학,False,0,1
9791130696577,낭만 강아지 봉봉,8,문학,False,0,1
9791130609386,트리거 :행동의 방아쇠를 당기는 힘,3,사회과학,False,0,1
9791164137923,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,4,자연과학,False,0,1
9791158510978,지금 하지 않으면 언제 하겠는가 :세계 최고 멘토들의 인생 수업,1,철학,False,0,1
9791193289020,마시지 않을 수 없는 밤이니까요 :정지아 에세이,8,문학,False,0,1
9791194028185,시간 유전자,,미상,False,0,1
9788963707204,김성근이다 :감독으로 말할 수 없었던 못다한 인생 이야기,,미상,False,0,1
9788994702346,부의 추월차선 :부자들이 말해 주지 않는 진정한 부를 얻는 방법,3,사회과학,False,0,1
9791193937723,메리골드 마음 식물원 =윤정은 장편소설 /Marigold mind botanical garden,,미상,False,0,1
9791168127531,"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",5,기술과학,True,18,1
9788949162041,장군이네 떡집,8,문학,False,0,1
9788950996505,정재승의 인류 탐험 보고서,4,자연과학,False,0,1
9791130650135,Who? 킬리안 음바페 =Kylian Mbappé,9,역사,False,0,1
9791169254069,팩토피아 :꼬리에 꼬리를 무는 400가지 사실들,0,총류,True,8,1
9791140714575,미술관에 간 할미 :짧게 읽고 오래 남는 모두의 명화수업,,미상,False,0,1
9791162543726,미래의 나를 만난 후 오늘이 달라졌다 :5년 뒤 나를 바꾸는 퓨처 셀프의 비밀,1,철학,False,0,1
9791196334703,지방 대사 켜는 스위치온 다이어트,5,기술과학,False,0,1
9791168271838,(비울수록 사랑을 더 채우는) 엄마의 말 그릇,5,기술과학,False,0,1
9788954641630,쇼코의 미소 :최은영 소설,8,문학,False,0,1
9788934992622,만약의 세계,8,문학,False,0,1
9791160943481,알아서 해가 떴습니다 :정연철 동시집,8,문학,False,0,1
9791195677153,열한 계단 :나를 흔들어 키운 불편한 지식들,0,총류,False,0,1
9788983711892,코스모스 :특별판,4,자연과학,False,0,1
9788930041683,허송세월 :김훈 산문,8,문학,False,0,1
9791165345471,저스트. 킵. 바잉. :당신을 부자로 만들어줄 3개의 단어,3,사회과학,False,0,1
9791196848194,수학 잘하는 아이는 이렇게 공부합니다 :수학이 어려운 엄마를 위한 전략적 학습 로드맵,4,자연과학,False,0,1
9791193401125,벌거벗은 한국사 :격동의 500년이 단숨에 이해되는 스토리텔링 고려사,,미상,False,0,1
9791187444282,부의 본능 :슈퍼리치가 되는 9가지 방법,3,사회과학,False,0,1
9788934993353,음식중독 =뇌를 자극하는 맛의 역습! 더 이상 스스로를 통제할 수 없다 /Food addicton,5,기술과학,False,0,1
9791187504955,나는 야구를 만화로 배웠어요,,미상,False,0,1
9791191393460,보이지 않는 것에 의미가 있다 :영화가 묻고 심리학이 답하다,1,철학,False,0,1
9791162542200,최고의 변화는 어떻게 만들어지는가 :쉽고 단순하게 나를 바꾸는 사람들의 비밀,3,사회과학,False,0,1
9791190846318,초등 매일 독서의 힘 :'읽는 중학생'을 만드는 초등의 책 읽기,0,총류,False,0,1
9791193383193,일의 감각 =Work and sense,3,사회과학,False,0,1
9791186805398,"그릿 :IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘",3,사회과학,False,0,1
9791162542644,습관의 알고리즘 :인간의 뇌는 어떻게 행동을 설계하는가,1,철학,False,0,1
9791168412248,흔한남매 이상한 나라의 고전 읽기,8,문학,False,0,1
9788954758246,(도슨트 정우철의) 미술 극장 :언택트 미술관 여행,,미상,False,0,1
9791193150184,"1795년, 정조의 행복한 행차 :화성원행도를 따라가 보다",,미상,False,0,1
9791171171019,물리박사 김상욱의 수상한 연구실 :어린이를 위한 세상의 모든 과학,4,자연과학,True,10,1
9791130612249,레버리지 :자본주의 속에 숨겨진 부의 비밀,3,사회과학,False,0,1
9788998441074,나는 소망한다 내게 금지된 것을 :양귀자 장편소설,8,문학,False,0,1
9788934971085,요리스타 청,5,기술과학,False,0,1
9788934980520,요리스타 청,5,기술과학,False,0,1
9791185584515,머리맡에 쇼펜하우어 - 삶을 깨우는 쇼펜하우어의 말,,미상,False,0,1
9788927747581,에그박사의 닮은꼴 사파리 :전격비교관찰 생물도감,4,자연과학,False,0,1
9791162540909,최강의 인생 :세상의 뻔한 공식을 깨부순 게임 체인저들의 44가지 법칙,3,사회과학,False,0,1
9791170263678,(세상을 따뜻하게 만드는) 착한 디자인 이야기,,미상,False,0,1
9791187165002,(끝까지 계속하게 만드는) 아주 작은 반복의 힘 :UCLA 의과대학에서 수행한 22년 연구성과물,3,사회과학,False,0,1
9788947546591,결과가 증명하는 20년 책육아의 기적 :몸마음머리 독서법,5,기술과학,False,0,1
9788977824768,위라클 =우리 모두에게 기적을 /Weracle,,미상,False,0,1
